Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22p","C_0805_2012Metric",-221.850000,-128.970000,0.000000,bottom
"C2","22p","C_0805_2012Metric",-221.977500,-135.310000,0.000000,bottom
"C3","1uF","C_0805_2012Metric",-209.400000,-122.120000,-90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-200.812500,-123.150000,180.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-213.540000,-141.480000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-198.232500,-138.040000,180.000000,bottom
"C7","0.1uF","C_0805_2012Metric",-221.850000,-126.860000,0.000000,bottom
"C8","4.7uF","C_0805_2012Metric",-200.802500,-121.060000,180.000000,bottom
"C9","4.7uF","C_0805_2012Metric",-95.980000,-96.240000,-90.000000,bottom
"D1","1N4148","D_SOD-323_HandSoldering",-100.160000,-96.770000,-90.000000,bottom
"D2","1N4148","D_SOD-323_HandSoldering",-119.100000,-97.260000,-90.000000,bottom
"D3","1N4148","D_SOD-323_HandSoldering",-139.700000,-97.631250,-98.000000,bottom
"D4","1N4148","D_SOD-323_HandSoldering",-158.540000,-100.000000,-98.000000,bottom
"D5","1N4148","D_SOD-323_HandSoldering",-177.380000,-103.187500,-98.000000,bottom
"D6","1N4148","D_SOD-323_HandSoldering",-196.240000,-105.730000,-98.000000,bottom
"D7","1N4148","D_SOD-323_HandSoldering",-233.490000,-105.060000,-82.000000,bottom
"D8","1N4148","D_SOD-323_HandSoldering",-252.650000,-103.640000,-82.000000,bottom
"D9","1N4148","D_SOD-323_HandSoldering",-271.240000,-99.930000,-82.000000,bottom
"D10","1N4148","D_SOD-323_HandSoldering",-290.130000,-97.310000,-82.000000,bottom
"D11","1N4148","D_SOD-323_HandSoldering",-310.640000,-96.710000,-90.000000,bottom
"D12","1N4148","D_SOD-323_HandSoldering",-329.720000,-96.690000,-90.000000,bottom
"D13","1N4148","D_SOD-323_HandSoldering",-348.780000,-96.610000,-90.000000,bottom
"D14","1N4148","D_SOD-323_HandSoldering",-99.900000,-115.840000,-90.000000,bottom
"D15","1N4148","D_SOD-323_HandSoldering",-121.270000,-115.770000,-90.000000,bottom
"D16","1N4148","D_SOD-323_HandSoldering",-141.650000,-117.920000,-98.000000,bottom
"D17","1N4148","D_SOD-323_HandSoldering",-160.500000,-120.410000,-98.000000,bottom
"D18","1N4148","D_SOD-323_HandSoldering",-179.370000,-123.180000,-98.000000,bottom
